name,time/op (ns/op),±
Gol/512x512x200-1-16,1.11103E+10,1%
Gol/512x512x200-2-16,5.78969E+09,1%
Gol/512x512x200-3-16,4.11308E+09,0%
Gol/512x512x200-4-16,3.34211E+09,1%
Gol/512x512x200-5-16,2.84168E+09,0%
Gol/512x512x200-6-16,2.55871E+09,0%
Gol/512x512x200-7-16,2.49233E+09,1%
Gol/512x512x200-8-16,2.54918E+09,0%
Gol/512x512x200-9-16,2.78241E+09,0%
Gol/512x512x200-10-16,2.65780E+09,0%
Gol/512x512x200-11-16,2.55215E+09,0%
Gol/512x512x200-12-16,2.47281E+09,0%
Gol/512x512x200-13-16,2.35553E+09,0%
Gol/512x512x200-14-16,2.30709E+09,0%
Gol/512x512x200-15-16,2.20668E+09,0%
Gol/512x512x200-16-16,2.21601E+09,0%
